,MKT_UNIQUE_CARRIER,count,mean,std,min,25%,50%,75%,max
0,AA,49961.0,0.3414663437481235,0.47420626395878535,0.0,0.0,0.0,1.0,1.0
1,AS,4662.0,0.3183183183183183,0.46587371819817514,0.0,0.0,0.0,1.0,1.0
2,B6,2287.0,0.4153913423699169,0.4928971544621573,0.0,0.0,0.0,1.0,1.0
3,DL,49204.0,0.3009714657344931,0.4586849882643393,0.0,0.0,0.0,1.0,1.0
4,F9,2021.0,0.4334487877288471,0.49567378982109533,0.0,0.0,0.0,1.0,1.0
5,G4,1197.0,0.5213032581453634,0.49975476169537325,0.0,0.0,1.0,1.0,1.0
6,NK,8776.0,0.43641750227894255,0.49596904671724995,0.0,0.0,0.0,1.0,1.0
7,UA,32731.0,0.34120558491949526,0.47412150507773726,0.0,0.0,0.0,1.0,1.0
8,WN,109019.0,0.59659325438685,0.49058327613362923,0.0,0.0,1.0,1.0,1.0
