YEAR,count,mean,std,min,25%,50%,75%,max
2018,114868.0,0.6560486819653863,0.4750271290066387,0.0,0.0,1.0,1.0,1.0
2019,111984.0,0.6551203743391913,0.47533113412826483,0.0,0.0,1.0,1.0,1.0
2020,66437.0,0.8300043650375544,0.3756317916007613,0.0,1.0,1.0,1.0,1.0
2021,75800.0,0.6613852242744064,0.4732417605976063,0.0,0.0,1.0,1.0,1.0
2022,89739.0,0.5989703473406212,0.49010972963471716,0.0,0.0,1.0,1.0,1.0
2023,99794.0,0.5927410465559052,0.49132628393194844,0.0,0.0,1.0,1.0,1.0
2024,104130.0,0.6292903101891866,0.4829971594404871,0.0,0.0,1.0,1.0,1.0
