MKT_UNIQUE_CARRIER,count,mean,std,min,25%,50%,75%,max
AA,117067.0,0.7104905737739927,0.45353663074418404,0.0,0.0,1.0,1.0,1.0
AS,14567.0,0.7277407839637536,0.44513788630926526,0.0,0.0,1.0,1.0,1.0
B6,2670.0,0.5940074906367041,0.4911750692103428,0.0,0.0,1.0,1.0,1.0
DL,122754.0,0.7543949687993874,0.4304471038912007,0.0,1.0,1.0,1.0,1.0
F9,5380.0,0.6314126394052044,0.4824665633434806,0.0,0.0,1.0,1.0,1.0
G4,3479.0,0.6536361023282552,0.4758792302448966,0.0,0.0,1.0,1.0,1.0
NK,20271.0,0.6745103842928322,0.46856905239308033,0.0,0.0,1.0,1.0,1.0
UA,87297.0,0.7439430908278635,0.43645612674521916,0.0,0.0,1.0,1.0,1.0
WN,289267.0,0.5537237223741388,0.49710624209770554,0.0,0.0,1.0,1.0,1.0
