DAY_OF_WEEK,count,mean,std,min,25%,50%,75%,max
Monday,99922.0,0.6506074738295871,0.47678051952431455,0.0,0.0,1.0,1.0,1.0
Tuesday,94646.0,0.6861251399953511,0.46406864544462134,0.0,0.0,1.0,1.0,1.0
Wednesday,94975.0,0.6806528033693077,0.46622618256501197,0.0,0.0,1.0,1.0,1.0
Thursday,98557.0,0.6337652323021196,0.48177714526874316,0.0,0.0,1.0,1.0,1.0
Friday,99628.0,0.6254767735977838,0.4840019944316034,0.0,0.0,1.0,1.0,1.0
Saturday,78944.0,0.6559333198216457,0.47506595184434813,0.0,0.0,1.0,1.0,1.0
Sunday,96080.0,0.6377601998334721,0.48065011374543526,0.0,0.0,1.0,1.0,1.0
